# danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,liked
6.959999999999999520e-01,8.050000000000000488e-01,1.000000000000000000e+00,-7.081999999999999851e+00,1.000000000000000000e+00,2.530000000000000027e-01,2.030000000000000138e-01,7.600000000000000080e-06,2.270000000000000073e-01,2.829999999999999738e-01,1.317160000000000082e+02,1.494220000000000000e+05,4.000000000000000000e+00,1.000000000000000000e+00
8.090000000000000524e-01,6.530000000000000249e-01,0.000000000000000000e+00,-7.177999999999999936e+00,0.000000000000000000e+00,3.059999999999999942e-01,3.350000000000000200e-01,0.000000000000000000e+00,1.100000000000000006e-01,6.390000000000000124e-01,1.399809999999999945e+02,1.990930000000000000e+05,4.000000000000000000e+00,1.000000000000000000e+00
7.940000000000000391e-01,6.590000000000000302e-01,7.000000000000000000e+00,-7.062999999999999723e+00,0.000000000000000000e+00,4.979999999999999705e-02,1.429999999999999882e-01,2.239999999999999804e-03,9.439999999999999780e-02,3.079999999999999960e-01,1.120190000000000055e+02,2.474600000000000000e+05,4.000000000000000000e+00,0.000000000000000000e+00
8.319999999999999618e-01,5.530000000000000471e-01,7.000000000000000000e+00,-1.370500000000000007e+01,1.000000000000000000e+00,4.870000000000000023e-02,4.220000000000000140e-02,3.559999999999999797e-03,2.489999999999999991e-01,8.900000000000000133e-01,1.198250000000000028e+02,2.156930000000000000e+05,4.000000000000000000e+00,0.000000000000000000e+00
8.289999999999999591e-01,7.079999999999999627e-01,1.000000000000000000e+01,-5.049999999999999822e+00,1.000000000000000000e+00,1.019999999999999934e-01,3.290000000000000147e-01,0.000000000000000000e+00,9.299999999999999933e-02,7.229999999999999760e-01,1.399610000000000127e+02,2.038130000000000000e+05,4.000000000000000000e+00,1.000000000000000000e+00
4.540000000000000147e-01,9.679999999999999716e-01,6.000000000000000000e+00,-6.288999999999999702e+00,1.000000000000000000e+00,7.870000000000000606e-02,1.730000000000000038e-05,3.380000000000000226e-01,4.719999999999999890e-02,5.350000000000000311e-01,1.039650000000000034e+02,2.502620000000000000e+05,4.000000000000000000e+00,0.000000000000000000e+00
2.660000000000000142e-01,9.859999999999999876e-01,8.000000000000000000e+00,-8.346000000000000085e+00,0.000000000000000000e+00,1.660000000000000087e-01,3.860000000000000041e-04,7.469999999999999973e-01,4.299999999999999933e-01,3.019999999999999907e-01,8.617900000000000205e+01,2.457730000000000000e+05,4.000000000000000000e+00,0.000000000000000000e+00
7.419999999999999929e-01,4.229999999999999871e-01,1.000000000000000000e+00,-9.794999999999999929e+00,0.000000000000000000e+00,1.079999999999999988e-01,8.319999999999999618e-01,1.040000000000000038e-05,6.439999999999999891e-02,7.119999999999999662e-01,7.502599999999999625e+01,1.940000000000000000e+05,4.000000000000000000e+00,1.000000000000000000e+00
7.009999999999999565e-01,3.410000000000000253e-01,1.000000000000000000e+00,-1.225999999999999979e+01,0.000000000000000000e+00,4.179999999999999688e-02,4.989999999999999991e-01,9.030000000000000249e-01,3.589999999999999858e-01,1.630000000000000060e-01,1.055130000000000052e+02,1.515070000000000000e+05,3.000000000000000000e+00,0.000000000000000000e+00
9.220000000000000417e-01,7.119999999999999662e-01,7.000000000000000000e+00,-6.024000000000000021e+00,1.000000000000000000e+00,1.710000000000000131e-01,7.789999999999999702e-02,3.960000000000000033e-05,1.749999999999999889e-01,9.040000000000000258e-01,1.049639999999999986e+02,1.618000000000000000e+05,4.000000000000000000e+00,1.000000000000000000e+00
7.540000000000000036e-01,4.749999999999999778e-01,1.000000000000000000e+00,-1.088899999999999935e+01,1.000000000000000000e+00,1.539999999999999980e-01,5.230000000000000204e-01,0.000000000000000000e+00,1.130000000000000032e-01,2.349999999999999867e-01,1.170060000000000002e+02,2.013840000000000000e+05,4.000000000000000000e+00,1.000000000000000000e+00
8.639999999999999902e-01,6.290000000000000036e-01,1.000000000000000000e+00,-6.602000000000000313e+00,0.000000000000000000e+00,2.790000000000000258e-01,9.869999999999999607e-02,0.000000000000000000e+00,7.370000000000000162e-02,2.200000000000000011e-01,1.400250000000000057e+02,1.909720000000000000e+05,4.000000000000000000e+00,1.000000000000000000e+00
7.449999999999999956e-01,4.560000000000000164e-01,8.000000000000000000e+00,-9.481999999999999318e+00,1.000000000000000000e+00,8.740000000000000546e-02,4.400000000000000022e-01,0.000000000000000000e+00,7.199999999999999456e-02,1.239999999999999991e-01,9.403199999999999648e+01,3.143670000000000000e+05,4.000000000000000000e+00,0.000000000000000000e+00
8.509999999999999787e-01,6.860000000000000542e-01,1.100000000000000000e+01,-8.143000000000000682e+00,1.000000000000000000e+00,2.220000000000000029e-01,5.969999999999999751e-01,1.080000000000000036e-06,1.110000000000000014e-01,7.520000000000000018e-01,1.549859999999999900e+02,1.953440000000000000e+05,4.000000000000000000e+00,1.000000000000000000e+00
5.679999999999999494e-01,7.880000000000000338e-01,2.000000000000000000e+00,-7.653999999999999915e+00,1.000000000000000000e+00,6.900000000000000577e-02,1.910000000000000031e-01,1.759999999999999954e-04,7.739999999999999658e-02,3.280000000000000138e-01,1.399590000000000032e+02,2.190770000000000000e+05,4.000000000000000000e+00,1.000000000000000000e+00
8.619999999999999885e-01,6.239999999999999991e-01,3.000000000000000000e+00,-1.163000000000000078e+01,1.000000000000000000e+00,5.650000000000000161e-02,1.919999999999999832e-02,1.530000000000000056e-04,4.649999999999999967e-02,8.820000000000000062e-01,1.248960000000000008e+02,2.542400000000000000e+05,4.000000000000000000e+00,0.000000000000000000e+00
3.729999999999999982e-01,9.799999999999999822e-01,1.000000000000000000e+00,-5.016000000000000014e+00,0.000000000000000000e+00,1.219999999999999973e-01,3.190000000000000019e-04,9.060000000000000275e-01,1.049999999999999961e-01,3.400000000000000244e-01,9.734600000000000364e+01,2.119470000000000000e+05,4.000000000000000000e+00,0.000000000000000000e+00
5.999999999999999778e-01,5.350000000000000311e-01,4.000000000000000000e+00,-1.202800000000000047e+01,1.000000000000000000e+00,3.760000000000000009e-01,2.740000000000000213e-01,0.000000000000000000e+00,9.840000000000000135e-02,2.049999999999999878e-01,1.800360000000000014e+02,1.760000000000000000e+05,3.000000000000000000e+00,1.000000000000000000e+00
7.620000000000000107e-01,5.999999999999999778e-01,5.000000000000000000e+00,-7.584999999999999964e+00,0.000000000000000000e+00,9.089999999999999469e-02,5.420000000000000373e-01,0.000000000000000000e+00,8.409999999999999420e-02,3.900000000000000133e-01,1.159080000000000013e+02,3.526270000000000000e+05,4.000000000000000000e+00,0.000000000000000000e+00
8.489999999999999769e-01,8.129999999999999449e-01,1.100000000000000000e+01,-5.334999999999999964e+00,1.000000000000000000e+00,4.390000000000000013e-01,5.200000000000000178e-01,0.000000000000000000e+00,1.799999999999999933e-01,6.650000000000000355e-01,1.470389999999999873e+02,1.458530000000000000e+05,4.000000000000000000e+00,1.000000000000000000e+00
7.640000000000000124e-01,8.120000000000000551e-01,7.000000000000000000e+00,-4.945999999999999730e+00,1.000000000000000000e+00,1.789999999999999925e-01,2.020000000000000129e-01,0.000000000000000000e+00,1.260000000000000009e-01,7.419999999999999929e-01,1.399610000000000127e+02,1.949730000000000000e+05,4.000000000000000000e+00,1.000000000000000000e+00
7.510000000000000009e-01,7.199999999999999734e-01,6.000000000000000000e+00,-4.860000000000000320e+00,1.000000000000000000e+00,3.039999999999999925e-01,2.949999999999999845e-01,0.000000000000000000e+00,3.370000000000000218e-01,7.610000000000000098e-01,1.400409999999999968e+02,1.976740000000000000e+05,4.000000000000000000e+00,1.000000000000000000e+00
8.429999999999999716e-01,6.560000000000000275e-01,1.000000000000000000e+00,-1.118399999999999928e+01,1.000000000000000000e+00,5.949999999999999734e-02,4.660000000000000253e-02,1.870000000000000134e-02,1.690000000000000113e-01,9.310000000000000497e-01,1.211119999999999948e+02,2.156530000000000000e+05,4.000000000000000000e+00,0.000000000000000000e+00
6.029999999999999805e-01,8.860000000000000098e-01,5.000000000000000000e+00,-3.777000000000000135e+00,0.000000000000000000e+00,8.369999999999999662e-02,4.499999999999999877e-04,0.000000000000000000e+00,2.600000000000000089e-01,3.950000000000000178e-01,1.260250000000000057e+02,2.299330000000000000e+05,4.000000000000000000e+00,1.000000000000000000e+00
6.999999999999999556e-01,7.189999999999999725e-01,5.000000000000000000e+00,-6.120000000000000107e+00,1.000000000000000000e+00,8.999999999999999667e-02,7.249999999999999778e-01,0.000000000000000000e+00,1.160000000000000059e-01,4.289999999999999925e-01,1.439710000000000036e+02,1.490130000000000000e+05,4.000000000000000000e+00,1.000000000000000000e+00
8.020000000000000462e-01,5.490000000000000435e-01,5.000000000000000000e+00,-8.599999999999999645e+00,0.000000000000000000e+00,6.310000000000000331e-02,2.680000000000000160e-01,4.959999999999999999e-03,9.840000000000000135e-02,4.979999999999999982e-01,1.389840000000000089e+02,1.846270000000000000e+05,4.000000000000000000e+00,1.000000000000000000e+00
8.780000000000000027e-01,6.219999999999999973e-01,2.000000000000000000e+00,-6.995000000000000107e+00,1.000000000000000000e+00,4.050000000000000266e-01,1.529999999999999971e-01,0.000000000000000000e+00,9.170000000000000373e-02,6.380000000000000115e-01,8.499099999999999966e+01,1.637650000000000000e+05,4.000000000000000000e+00,1.000000000000000000e+00
4.500000000000000111e-01,9.519999999999999574e-01,2.000000000000000000e+00,-5.075000000000000178e+00,0.000000000000000000e+00,8.999999999999999667e-02,2.429999999999999977e-04,4.490000000000000067e-03,5.540000000000000480e-01,1.769999999999999907e-01,1.400459999999999923e+02,2.160330000000000000e+05,4.000000000000000000e+00,1.000000000000000000e+00
2.449999999999999956e-01,9.150000000000000355e-01,1.000000000000000000e+00,-8.992000000000000881e+00,1.000000000000000000e+00,7.180000000000000271e-02,9.859999999999999787e-05,7.039999999999999591e-01,6.330000000000000071e-01,4.819999999999999840e-01,1.010169999999999959e+02,2.287330000000000000e+05,3.000000000000000000e+00,0.000000000000000000e+00
7.469999999999999973e-01,6.660000000000000364e-01,1.100000000000000000e+01,-7.844999999999999751e+00,1.000000000000000000e+00,1.970000000000000084e-01,1.300000000000000044e-01,0.000000000000000000e+00,3.599999999999999867e-01,5.310000000000000275e-01,7.750700000000000500e+01,1.772130000000000000e+05,4.000000000000000000e+00,1.000000000000000000e+00
8.469999999999999751e-01,8.449999999999999734e-01,1.000000000000000000e+00,-2.900999999999999801e+00,0.000000000000000000e+00,3.049999999999999933e-01,2.790000000000000258e-01,0.000000000000000000e+00,5.199999999999999761e-02,6.330000000000000071e-01,1.420120000000000005e+02,1.909860000000000000e+05,4.000000000000000000e+00,1.000000000000000000e+00
